"","airline","timeOfFlight","deptAirport","arrAirport","arrDay","arrTime","deptCountry","flightNumber","estimatedOutGateVariation","estimatedOutGate","estimatedOffGround","actualOutGateVariation","actualOutGate","actualOffGround","estimatedInGateVariation","estimatedInGate","estimatedOnGround","actualInGateVariation","actualInGate","actualOnGround","arrTerminal","arrGate","numStops","connections","miles"
"25","AA",97,"PIT","ORD",2024-08-01,07:09:00,"US",2999,"00:00:00",2024-08-01 10:32:00,NA,"-00:07:00",2024-08-01 10:25:00,2024-08-01 10:39:00,"-00:20:00",2024-08-01 11:49:00,NA,"-00:19:00",2024-08-01 11:50:00,2024-08-01 11:39:00,"3","K4",0,"None","411.5"
"26","AA",118,"MEM","ORD",2024-08-01,07:10:00,"US",3758,"00:00:00",2024-08-01 10:12:00,NA,"-00:09:00",2024-08-01 10:03:00,2024-08-01 10:12:00,"-00:28:00",2024-08-01 11:42:00,NA,"-00:31:00",2024-08-01 11:39:00,2024-08-01 11:32:00,"3","L20",0,"None","492.11"
"27","AA",130,"ATL","ORD",2024-08-01,07:10:00,"US",2684,"00:00:00",2024-08-01 10:00:00,NA,"-00:06:00",2024-08-01 09:54:00,2024-08-01 10:15:00,"-00:16:00",2024-08-01 11:54:00,NA,"-00:17:00",2024-08-01 11:53:00,2024-08-01 11:44:00,"3","H17",0,"None","606.66"
"28","AA",70,"AZO","ORD",2024-08-01,07:10:00,"US",6180,"00:00:00",2024-08-01 11:00:00,NA,"-00:14:00",2024-08-01 10:46:00,2024-08-01 10:59:00,"-00:37:00",2024-08-01 11:33:00,2024-08-01 11:28:00,"-00:26:00",2024-08-01 11:44:00,2024-08-01 11:28:00,"3","G18",0,"None","121.89"
"29","AA",176,"BOS","ORD",2024-08-01,07:11:00,"US",1509,"00:00:00",2024-08-01 09:15:00,NA,"-00:07:00",2024-08-01 09:08:00,2024-08-01 09:26:00,"-00:32:00",2024-08-01 11:39:00,NA,"-00:32:00",2024-08-01 11:39:00,2024-08-01 11:27:00,"3","H9",0,"None","864.37"
"30","AA",103,"SGF","ORD",2024-08-01,07:13:00,"US",4129,"00:00:00",2024-08-01 10:30:00,NA,"00:07:00",2024-08-01 10:37:00,2024-08-01 10:51:00,"00:13:00",2024-08-01 12:26:00,NA,"00:16:00",2024-08-01 12:29:00,2024-08-01 12:14:00,"3","L22",0,"None","438.15"
"31","AA",69,"CID","ORD",2024-08-01,07:14:00,"US",1900,"00:00:00",2024-08-01 11:05:00,NA,"00:04:00",2024-08-01 11:09:00,2024-08-01 11:24:00,"00:06:00",2024-08-01 12:20:00,NA,"00:08:00",2024-08-01 12:22:00,2024-08-01 12:07:00,"3","L11",0,"None","195.73"
"32","AA",67,"BMI","ORD",2024-08-01,07:14:00,"US",6042,"00:00:00",2024-08-01 11:07:00,NA,"-00:02:00",2024-08-01 11:05:00,2024-08-01 11:23:00,"00:12:00",2024-08-01 12:26:00,2024-08-01 12:21:00,"00:24:00",2024-08-01 12:38:00,2024-08-01 12:21:00,"3","G5",0,"None","116.28"
"33","AA",72,"LSE","ORD",2024-08-01,07:15:00,"US",3581,"00:00:00",2024-08-01 11:03:00,NA,"-00:08:00",2024-08-01 10:55:00,2024-08-01 11:04:00,"-00:15:00",2024-08-01 12:00:00,NA,"-00:14:00",2024-08-01 12:01:00,2024-08-01 11:49:00,"3","H2",0,"None","214.43"
"34","AA",137,"BWI","ORD",2024-08-01,07:17:00,"US",3619,"00:00:00",2024-08-01 10:00:00,NA,"-00:04:00",2024-08-01 09:56:00,2024-08-01 10:07:00,"-00:28:00",2024-08-01 11:49:00,NA,"-00:28:00",2024-08-01 11:49:00,2024-08-01 11:38:00,"3","L1A",0,"None","620.11"
"35","AA",137,"AVP","ORD",2024-08-01,07:17:00,"US",4141,"00:00:00",2024-08-01 10:00:00,NA,"-00:02:00",2024-08-01 09:58:00,2024-08-01 10:09:00,"-00:23:00",2024-08-01 11:54:00,NA,"-00:26:00",2024-08-01 11:51:00,2024-08-01 11:43:00,"3","L6A",0,"None","629.83"
"36","AA",78,"RST","ORD",2024-08-01,07:18:00,"US",3745,"00:00:00",2024-08-01 11:00:00,NA,"-00:12:00",2024-08-01 10:48:00,2024-08-01 10:59:00,"-00:19:00",2024-08-01 11:59:00,NA,"-00:18:00",2024-08-01 12:00:00,2024-08-01 11:48:00,"3","L8",0,"None","267.8"
"37","AA",130,"DCA","ORD",2024-08-01,07:18:00,"US",2569,"00:00:00",2024-08-01 10:08:00,NA,"-00:09:00",2024-08-01 09:59:00,2024-08-01 10:17:00,"-00:20:00",2024-08-01 11:58:00,NA,"-00:24:00",2024-08-01 11:54:00,2024-08-01 11:47:00,"3","K19",0,"None","610.56"
"38","AA",63,"MSN","ORD",2024-08-01,07:18:00,"US",6174,"00:00:00",2024-08-01 11:15:00,NA,"-00:06:00",2024-08-01 11:09:00,2024-08-01 11:25:00,"-00:10:00",2024-08-01 12:08:00,2024-08-01 11:55:00,"-00:07:00",2024-08-01 12:11:00,2024-08-01 11:56:00,"3","G7",0,"None","108.41"
