"airline","timeOfFlight","deptAirport","arrAirport","arrDay","arrTime","deptCountry","flightNumber","estimatedOutGateVariation","estimatedOutGate","estimatedOffGround","actualOutGateVariation","actualOutGate","actualOffGround","estimatedInGateVariation","estimatedInGate","estimatedOnGround","actualInGateVariation","actualInGate","actualOnGround","arrTerminal","arrGate","numStops","connections","miles"
"NZ",164,"PVD","ORD","2024-08-01","07:44","US",2774,"00:00:00","2024-08-01T06:00:00-04:00","2024-08-01T06:14:00-04:00","-00:15:00","2024-08-01T05:45:00-04:00","2024-08-01T06:00:00-04:00","-00:19:00","2024-08-01T07:25:00-05:00","2024-08-01T06:55:00-05:00","-00:20:00","2024-08-01T07:24:00-05:00","2024-08-01T06:55:00-05:00","1","C18A",0,list("None"),846.98
"AC",134,"ATL","ORD","2024-08-01","07:14","US",3304,"00:00:00","2024-08-01T06:00:00-04:00","2024-08-01T06:27:00-04:00","-00:03:00","2024-08-01T05:57:00-04:00","2024-08-01T06:21:00-04:00","-00:07:00","2024-08-01T07:07:00-05:00","2024-08-01T07:07:00-05:00","-00:11:00","2024-08-01T07:03:00-05:00","2024-08-01T06:55:00-05:00","1","C30",0,list("None"),606.66
"NZ",134,"ATL","ORD","2024-08-01","07:14","US",2018,"00:00:00","2024-08-01T06:00:00-04:00","2024-08-01T06:27:00-04:00","-00:03:00","2024-08-01T05:57:00-04:00","2024-08-01T06:21:00-04:00","-00:07:00","2024-08-01T07:07:00-05:00","2024-08-01T07:07:00-05:00","-00:11:00","2024-08-01T07:03:00-05:00","2024-08-01T06:55:00-05:00","1","C30",0,list("None"),606.66
"NH",134,"ATL","ORD","2024-08-01","07:14","US",7421,"00:00:00","2024-08-01T06:00:00-04:00","2024-08-01T06:27:00-04:00","-00:03:00","2024-08-01T05:57:00-04:00","2024-08-01T06:21:00-04:00","-00:07:00","2024-08-01T07:07:00-05:00","2024-08-01T07:07:00-05:00","-00:11:00","2024-08-01T07:03:00-05:00","2024-08-01T06:55:00-05:00","1","C30",0,list("None"),606.66
"FI",174,"BOS","ORD","2024-08-01","07:54","US",7861,"00:00:00","2024-08-01T06:00:00-04:00",NA,"-00:12:00","2024-08-01T05:48:00-04:00","2024-08-01T06:02:00-04:00","-00:28:00","2024-08-01T07:26:00-05:00",NA,"-00:34:00","2024-08-01T07:20:00-05:00","2024-08-01T07:08:00-05:00","3","G2",0,list("None"),864.37
"TP",174,"BOS","ORD","2024-08-01","07:54","US",4345,"00:00:00","2024-08-01T06:00:00-04:00",NA,"-00:12:00","2024-08-01T05:48:00-04:00","2024-08-01T06:02:00-04:00","-00:28:00","2024-08-01T07:26:00-05:00",NA,"-00:34:00","2024-08-01T07:20:00-05:00","2024-08-01T07:08:00-05:00","3","G2",0,list("None"),864.37
"QR",174,"BOS","ORD","2024-08-01","07:54","US",4066,"00:00:00","2024-08-01T06:00:00-04:00",NA,"-00:12:00","2024-08-01T05:48:00-04:00","2024-08-01T06:02:00-04:00","-00:28:00","2024-08-01T07:26:00-05:00",NA,"-00:34:00","2024-08-01T07:20:00-05:00","2024-08-01T07:08:00-05:00","3","G2",0,list("None"),864.37
"AC",128,"GSP","ORD","2024-08-01","07:08","US",4716,"00:00:00","2024-08-01T06:00:00-04:00","2024-08-01T06:41:00-04:00","-00:03:00","2024-08-01T05:57:00-04:00","2024-08-01T06:26:00-04:00","00:06:00","2024-08-01T07:14:00-05:00","2024-08-01T06:59:00-05:00","00:05:00","2024-08-01T07:13:00-05:00","2024-08-01T07:06:00-05:00","2","F12",0,list("None"),577.77
"NZ",128,"GSP","ORD","2024-08-01","07:08","US",2424,"00:00:00","2024-08-01T06:00:00-04:00","2024-08-01T06:41:00-04:00","-00:03:00","2024-08-01T05:57:00-04:00","2024-08-01T06:26:00-04:00","00:06:00","2024-08-01T07:14:00-05:00","2024-08-01T06:59:00-05:00","00:05:00","2024-08-01T07:13:00-05:00","2024-08-01T07:06:00-05:00","2","F12",0,list("None"),577.77
"NH",128,"GSP","ORD","2024-08-01","07:08","US",7729,"00:00:00","2024-08-01T06:00:00-04:00","2024-08-01T06:41:00-04:00","-00:03:00","2024-08-01T05:57:00-04:00","2024-08-01T06:26:00-04:00","00:06:00","2024-08-01T07:14:00-05:00","2024-08-01T06:59:00-05:00","00:05:00","2024-08-01T07:13:00-05:00","2024-08-01T07:06:00-05:00","2","F12",0,list("None"),577.77
